Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2024;8863 ;9717;24726;163270;6;1.00;1;0;1;0;3;3;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM RET DOM MAÑ F7 SEN MAS Adelf D5 9-11h;FUTBOL 7;SENIOR ;BARSENAL;MASCULINO;Retiro
2024;8863 ;9717;24726;163271;9;.00;1;0;0;1;3;5;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM RET DOM MAÑ F7 SEN MAS Adelf D5 9-11h;FUTBOL 7;SENIOR ;Gorgonitas FC;MASCULINO;Retiro
2024;8863 ;9717;24726;163272;1;3.00;1;1;0;0;6;1;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM RET DOM MAÑ F7 SEN MAS Adelf D5 9-11h;FUTBOL 7;SENIOR ;LOS FIERAS;MASCULINO;Retiro
2024;8863 ;9717;24726;163273;10;.00;1;0;0;1;3;5;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM RET DOM MAÑ F7 SEN MAS Adelf D5 9-11h;FUTBOL 7;SENIOR ;MAX JALISCO;MASCULINO;Retiro
2024;8863 ;9717;24726;163274;2;3.00;1;1;0;0;3;1;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM RET DOM MAÑ F7 SEN MAS Adelf D5 9-11h;FUTBOL 7;SENIOR ;Menu del Día FC;MASCULINO;Retiro
2024;8863 ;9717;24726;163275;11;.00;1;0;0;1;1;3;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM RET DOM MAÑ F7 SEN MAS Adelf D5 9-11h;FUTBOL 7;SENIOR ;Muchachos F.C.;MASCULINO;Retiro
2024;8863 ;9717;24726;163276;3;3.00;1;1;0;0;5;3;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM RET DOM MAÑ F7 SEN MAS Adelf D5 9-11h;FUTBOL 7;SENIOR ;New Team;MASCULINO;Retiro
2024;8863 ;9717;24726;163277;12;.00;1;0;0;1;1;6;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM RET DOM MAÑ F7 SEN MAS Adelf D5 9-11h;FUTBOL 7;SENIOR ;Pochos Hermanos;MASCULINO;Retiro
2024;8863 ;9717;24726;163278;4;3.00;1;1;0;0;5;3;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM RET DOM MAÑ F7 SEN MAS Adelf D5 9-11h;FUTBOL 7;SENIOR ;Rayo Cebolleta;MASCULINO;Retiro
2024;8863 ;9717;24726;163279;7;1.00;1;0;1;0;3;3;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM RET DOM MAÑ F7 SEN MAS Adelf D5 9-11h;FUTBOL 7;SENIOR ;Real América;MASCULINO;Retiro
